Ejercicio,DepartamentoCodigo,SeccionalPolicialCodigo,AreaSupervision,AreaEnumeracion,ActividadCodigo,GiroCodigo,NaturalezaJuridicaCodigo,EstratoCodigo,EspecieCodigo,ProductoCodigo,Litros
2018,2,2,302,302002,-,02,11,2,11,8,13860
2018,2,3,0,0,-,02,5,2,11,8,5000
2018,2,3,304,304002,-,40,11,2,4,8,25000
2018,2,6,317,317006,-,02,11,3,11,8,80300
2018,2,6,318,318003,-,02,11,2,11,8,18250
2018,2,7,316,316004,-,40,5,2,4,8,300
2018,2,8,0,0,-,18,5,1,11,8,10000
2018,2,8,314,314001,-,01,5,2,11,8,15000
2018,2,8,314,314008,-,02,5,2,11,8,57400
2018,2,10,0,0,-,02,5,2,11,8,73500
2018,2,10,308,308002,-,16,5,2,11,8,70000
2018,2,10,308,308003,-,02,11,3,11,8,30000
2018,2,10,308,308005,-,01,11,3,11,8,219000
2018,2,10,308,308005,-,02,11,2,11,8,1395
2018,2,10,309,309004,-,01,11,2,11,8,1500
2018,2,10,309,309004,-,02,11,2,11,8,50000
2018,2,10,312,312002,-,02,8,2,11,8,17600
2018,2,11,0,0,-,02,5,2,11,8,26500
2018,2,11,306,306003,-,02,1,4,11,8,940
2018,2,14,312,312005,-,01,5,4,11,8,68288
2018,3,2,0,0,-,18,5,1,11,8,81000
2018,4,2,505,505004,-,02,5,3,11,8,50000
2018,4,2,505,505006,-,02,5,4,11,8,101220
2018,4,2,505,505006,-,02,11,2,11,8,51100
2018,4,2,505,505006,-,02,11,4,11,8,74500
2018,4,5,0,0,-,02,11,3,11,8,307800
2018,4,5,503,503006,-,03,11,4,11,8,7800
2018,4,5,505,505003,-,02,11,3,11,8,209500
2018,4,5,505,505003,-,02,11,4,11,8,18250
2018,4,5,505,505005,-,02,5,2,11,8,92000
2018,4,5,505,505005,-,02,5,3,11,8,61590
2018,4,5,505,505005,-,02,5,6,11,8,474800
2018,4,5,505,505005,-,02,11,2,11,8,23150
2018,4,5,505,505005,-,02,11,4,11,8,289000
2018,4,5,505,505005,-,02,11,5,11,8,346750
2018,4,5,506,506005,-,01,5,3,11,8,135000
2018,4,5,506,506005,-,01,11,2,11,8,65500
2018,4,5,506,506005,-,02,5,2,11,8,47450
2018,4,5,506,506005,-,02,5,3,11,8,20000
2018,4,5,506,506005,-,02,5,4,11,8,615260
2018,4,5,506,506005,-,02,11,3,11,8,330076
2018,4,5,506,506005,-,02,11,4,11,8,247000
2018,4,5,506,506005,-,02,11,5,11,8,566340
2018,4,5,506,506006,-,02,1,4,11,8,250269
2018,4,5,506,506006,-,02,1,4,11,9,24000
2018,4,5,506,506006,-,02,5,2,11,8,38000
2018,4,5,506,506006,-,02,5,3,11,8,230500
2018,4,5,506,506006,-,02,11,3,11,8,213000
2018,4,6,0,0,-,02,9,2,11,8,35724
2018,4,6,0,0,-,02,9,2,11,9,2185
2018,4,6,501,501004,-,02,5,2,11,8,11500
2018,4,6,506,506003,-,01,11,2,11,8,86800
2018,4,6,506,506003,-,02,5,2,11,8,248900
2018,4,6,506,506003,-,02,5,3,11,8,5000
2018,4,6,506,506004,-,01,5,2,11,8,5400
2018,4,6,506,506004,-,02,5,2,11,8,15100
2018,4,6,506,506004,-,02,11,3,11,8,200000
2018,4,6,506,506004,-,40,5,2,4,8,3000
2018,4,6,506,506004,-,40,5,2,4,9,1000
2018,4,6,506,506005,-,01,11,3,4,8,1380
2018,4,6,506,506005,-,02,5,2,11,8,146000
2018,4,6,506,506005,-,02,5,3,11,8,184250
2018,4,6,506,506005,-,02,11,2,11,8,9600
2018,4,6,506,506005,-,02,11,3,11,8,378500
2018,4,6,506,506009,-,01,11,3,11,8,60000
2018,4,6,506,506009,-,02,8,2,11,8,166000
2018,4,7,504,504001,-,01,14,3,11,8,434000
2018,4,7,504,504001,-,02,5,3,11,8,190000
2018,4,7,504,504001,-,02,11,3,11,8,420000
2018,4,7,504,504001,-,02,12,3,11,8,210265
2018,4,9,502,502001,-,02,5,2,11,8,9000
2018,4,9,502,502003,-,01,5,3,11,8,109000
2018,4,9,502,502003,-,02,8,3,11,8,139200
2018,4,9,502,502003,-,02,11,3,11,8,120400
2018,4,9,502,502004,-,01,5,3,11,8,38400
2018,4,10,501,501004,-,02,8,5,11,8,111000
2018,4,10,501,501004,-,02,8,5,11,9,259000
2018,4,10,501,501006,-,02,5,3,11,8,290000
2018,4,11,501,501002,-,01,5,2,11,6,46700
2018,4,11,501,501002,-,02,5,2,11,8,280000
2018,4,12,0,0,-,02,5,2,11,8,80000
2018,4,12,502,502003,-,02,5,2,11,8,82000
2018,4,12,502,502004,-,01,5,3,11,8,9720
2018,4,12,502,502004,-,02,11,3,11,8,310250
2018,4,12,503,503001,-,02,11,4,11,8,120000
2018,4,12,503,503002,-,02,5,2,11,8,85400
2018,4,13,0,0,-,02,5,2,11,8,335800
2018,4,13,0,0,-,02,5,4,11,8,288015
2018,4,13,502,502006,-,02,11,3,11,8,36000
2018,4,13,503,503003,-,02,5,2,11,8,218000
2018,4,13,503,503003,-,02,5,3,11,8,71175
2018,4,13,503,503003,-,02,5,4,11,8,73000
2018,4,13,503,503003,-,02,5,5,11,8,36500
2018,4,13,503,503007,-,02,5,2,11,8,65780
2018,4,13,503,503007,-,02,5,3,11,8,514120
2018,4,13,503,503007,-,02,5,4,11,8,95000
2018,4,13,503,503007,-,02,11,2,11,8,200000
2018,4,13,503,503007,-,02,11,4,11,8,38300
2018,4,13,503,503007,-,02,11,5,11,8,730000
2018,4,14,0,0,-,02,5,5,11,8,720000
2018,4,14,502,502006,-,02,5,2,11,8,36500
2018,4,14,503,503004,-,02,11,2,11,8,154030
2018,4,14,504,504002,-,-,11,2,11,8,180000
2018,4,14,504,504002,-,02,11,4,11,8,109135
2018,4,14,504,504004,-,02,11,2,11,8,78200
2018,4,14,506,506001,-,01,5,5,11,8,305000
2018,4,14,506,506001,-,02,5,2,11,8,36500
2018,4,14,506,506001,-,02,5,4,11,8,240000
2018,4,14,506,506001,-,02,11,5,11,8,185000
2018,4,15,504,504004,-,02,5,2,11,8,36500
2018,4,16,0,0,-,02,13,2,11,8,23000
2018,4,16,504,504006,-,02,2,4,11,8,130000
2018,4,16,504,504006,-,02,5,2,11,8,146000
2018,4,16,504,504006,-,02,5,3,11,8,255500
2018,4,16,504,504006,-,02,12,3,11,8,382320
2018,4,16,506,506001,-,01,5,4,11,8,73700
2018,4,16,506,506007,-,02,5,2,11,8,146000
2018,4,16,506,506007,-,02,11,2,11,8,181000
2018,4,16,506,506007,-,02,11,3,11,8,631150
2018,4,16,506,506007,-,02,11,4,11,8,841000
2018,4,16,506,506008,-,-,11,3,11,8,7500
2018,4,16,506,506008,-,01,5,2,11,8,45000
2018,4,16,506,506008,-,02,5,2,11,8,43200
2018,4,16,506,506008,-,02,5,3,11,8,189800
2018,4,17,0,0,-,18,11,1,11,8,10000
2018,4,17,502,502006,-,02,11,3,11,8,90000
2018,4,17,503,503005,-,01,5,2,11,8,30000
2018,4,17,503,503005,-,01,5,3,11,8,24000
2018,4,17,503,503005,-,02,5,2,11,8,36500
2018,4,17,503,503005,-,02,11,2,11,8,97000
2018,4,17,503,503006,-,01,5,4,11,8,153300
2018,4,17,503,503006,-,01,5,6,11,8,190000
2018,4,17,503,503006,-,01,11,4,11,8,502760
2018,4,17,503,503006,-,01,11,5,11,8,40000
2018,4,17,503,503006,-,02,5,2,11,8,54000
2018,4,17,503,503006,-,02,5,3,11,8,160500
2018,4,17,503,503006,-,02,5,4,11,8,439700
2018,4,17,503,503006,-,02,8,2,11,8,20000
2018,4,17,503,503006,-,02,11,2,11,8,225000
2018,4,17,503,503007,-,02,5,2,11,8,56575
2018,4,17,503,503007,-,02,11,2,11,8,36000
2018,4,17,503,503007,-,02,11,3,11,8,90000
2018,4,17,505,505001,-,01,11,3,11,8,170000
2018,4,17,505,505001,-,02,5,2,11,8,40000
2018,4,17,505,505001,-,02,5,4,11,8,360000
2018,4,17,505,505001,-,02,5,5,11,8,329230
2018,4,17,505,505001,-,02,11,3,11,8,42000
2018,4,17,505,505004,-,01,11,2,11,8,20000
2018,4,17,505,505004,-,01,11,4,11,8,579000
2018,4,17,505,505004,-,02,11,2,11,8,21900
2018,4,17,505,505004,-,02,11,4,11,9,394000
2018,4,17,505,505006,-,02,5,3,11,8,265000
2018,4,17,505,505006,-,02,5,5,11,8,426525
2018,4,17,506,506001,-,02,5,2,11,8,160000
2018,4,17,506,506001,-,02,8,4,11,8,271600
2018,4,17,506,506001,-,02,11,2,11,8,215800
2018,4,18,0,0,-,02,5,2,11,8,109500
2018,4,18,0,0,-,02,11,4,11,8,288000
2018,4,18,0,0,-,02,11,5,11,8,252000
2018,4,18,505,505001,-,01,5,4,11,8,109500
2018,4,18,505,505001,-,01,11,2,11,8,161000
2018,4,18,505,505001,-,01,11,3,11,8,109500
2018,4,18,505,505001,-,01,11,4,11,8,110000
2018,4,18,505,505001,-,01,11,5,11,8,275000
2018,4,18,505,505001,-,02,5,2,11,8,300000
2018,4,18,505,505001,-,02,5,4,11,8,280000
2018,4,18,505,505001,-,02,11,5,11,8,145000
2018,4,18,505,505002,-,01,5,3,11,8,89500
2018,4,18,505,505002,-,01,5,6,11,8,144000
2018,4,18,505,505002,-,01,11,3,11,8,694850
